"X4","ensembl_gene_id","hgnc_symbol","intact_molecules_per_ml_plasma"
"ENST00000335295","ENSG00000244734","HBB",161147.47286295795
"ENST00000251595","ENSG00000188536","HBA2",147937.5274597222
"ENST00000320868","ENSG00000206172","HBA1",70223.28884090192
"ENST00000397806","ENSG00000188536","HBA2",28811.333804273396
"ENST00000331825","ENSG00000087086","FTL",25609.190094965215
"ENST00000451311","ENSG00000205542","TMSB4X",23279.17748051865
"ENST00000368567","ENSG00000177954","RPS27",22619.886513549238
"ENST00000397797","ENSG00000206172","HBA1",18765.021889278672
"ENST00000245458","ENSG00000213741","RPS29",13508.383076558117
"ENST00000532829","ENSG00000167996","FTH1",10050.724284144686
"ENST00000222247","ENSG00000105640","RPL18A",9668.114860422336
"ENST00000394667","ENSG00000109475","RPL34",9505.87581169621
"ENST00000361739","ENSG00000198712","MT-CO2",8080.107506070247
"ENST00000233143","ENSG00000034510","TMSB10",7976.975044464101
"ENST00000623936",NA,NA,6393.0371486417025
"ENST00000501597","ENSG00000229117","RPL41",6128.195092259961
"ENST00000343262","ENSG00000140988","RPS2",5640.790495321008
"ENST00000617605",NA,NA,5291.326513970345
"ENST00000380635","ENSG00000205542","TMSB4X",5098.5720523520085
"ENST00000225430","ENSG00000108298","RPL19",4497.38911368033
"ENST00000339624","ENSG00000140264","SERF2",4476.126283243964
"ENST00000374213","ENSG00000169442","CD52",4474.802312711145
"ENST00000287038","ENSG00000156482","RPL30",4268.249075692156
"ENST00000253788","ENSG00000131469","RPL27",4190.861242277781
"ENST00000348462","ENSG00000136942","RPL35",4183.808363772443
"ENST00000361575","ENSG00000198918","RPL39",3530.041032992928
"ENST00000274065","ENSG00000145425","RPS3A",3417.9434460632124
"ENST00000579374","ENSG00000108298","RPL19",3408.119629793268
"ENST00000361436","ENSG00000197958","RPL12",3360.5154943970174
"ENST00000293842","ENSG00000161970","RPL26",3341.649475115731
"ENST00000270625","ENSG00000142534","RPS11",2824.1238503760524
"ENST00000368738","ENSG00000163220","S100A9",2747.7580322852623
"ENST00000592588","ENSG00000115268","RPS15",2458.6378801321634
"ENST00000358888","ENSG00000229117","RPL41",2338.435663569973
"ENST00000251453","ENSG00000105193","RPS16",2271.1020131643263
"ENST00000374550","ENSG00000142676","RPL11",2244.3614284099945
"ENST00000534180","ENSG00000167996","FTH1",2184.017840265225
"ENST00000382689","ENSG00000240247","DEFA1B",2168.565156814032
"ENST00000343986","ENSG00000171858","RPS21",2165.9877016992964
"ENST00000394665","ENSG00000109475","RPL34",2077.8840769738517
"ENST00000593863","ENSG00000105372","RPS19",2014.233650303814
"ENST00000382692","ENSG00000206047","DEFA1",1944.3387272757464
"ENST00000547649","ENSG00000092841","MYL6",1770.9033100702868
"ENST00000271638","ENSG00000163191","S100A11",1727.8952708519403
"ENST00000459748","ENSG00000244398","ENSG00000244398",1709.965792088924
"ENST00000495531","ENSG00000220842","ENSG00000220842",1569.7458366704127
"ENST00000296028","ENSG00000163736","PPBP",1568.6684577969338
"ENST00000331789","ENSG00000075624","ACTB",1554.8012943526628
"ENST00000532872","ENSG00000149273","RPS3",1526.4009263515532
"ENST00000326199","ENSG00000124614","RPS10",1514.5610897276129
"ENST00000580261","ENSG00000265681","RPL17",1413.1298739968104
"ENST00000477151","ENSG00000177954","RPS27",1399.853557674625
"ENST00000196551","ENSG00000083845","RPS5",1261.902890749905
"ENST00000414002","ENSG00000203875","SNHG5",1259.9396621783021
"ENST00000430157","ENSG00000221983","UBA52",1247.9618678363368
"ENST00000476337","ENSG00000223367","RPS18",1239.6116915661664
"ENST00000474973","ENSG00000231500","RPS18",1212.9863627339653
"ENST00000486781","ENSG00000235650","RPS18",1208.7199464993673
"ENST00000295955","ENSG00000163682","RPL9",1194.970242347212
